,subject,subsample,chao2,species,shannon,num_h3,ratio,key
109,Kymouse 1,1.0,30301.0,Kymouse,10.261236316882641,30301,0.920471460250919,clone_id
110,Kymouse 2,0.1,54673.18351343597,Kymouse,8.630686470208051,5656,0.09823278488726386,clone_id
111,Kymouse 2,0.2,53305.72581771991,Kymouse,9.307177231928016,11180,0.19451553930530163,clone_id
112,Kymouse 2,0.3,53065.5117104026,Kymouse,9.695558572806714,16596,0.2898232784887264,clone_id
113,Kymouse 2,0.4,53043.42928883849,Kymouse,9.969110678536392,22030,0.38248454774963003,clone_id
114,Kymouse 2,0.5,52966.03276861346,Kymouse,10.178435002224507,27306,0.4749020632018804,clone_id
115,Kymouse 2,0.6,52968.49723756906,Kymouse,10.348987104951204,32522,0.5659789327065379,clone_id
116,Kymouse 2,0.7,52963.642857142855,Kymouse,10.49209068732804,37743,0.6565857055802211,clone_id
117,Kymouse 2,0.8,52964.0,Kymouse,10.614851757739384,42782,0.7459040654653086,clone_id
118,Kymouse 2,0.9,52964.0,Kymouse,10.721916946262274,47939,0.8341603551841211,clone_id
119,Kymouse 2,1.0,52964.0,Kymouse,10.817153602024195,52964,0.9221554801079481,clone_id
120,Kymouse 3,0.1,90503.43327133225,Kymouse,9.112038639003952,9567,0.09538584326831945,clone_id
121,Kymouse 3,0.2,88855.63629147483,Kymouse,9.758010266367311,18824,0.1877986731181723,clone_id
122,Kymouse 3,0.3,87697.67463840009,Kymouse,10.132601750847495,27889,0.2767596149049733,clone_id
123,Kymouse 3,0.4,87596.19971969166,Kymouse,10.391614914891875,36618,0.36528158826757123,clone_id
124,Kymouse 3,0.5,87562.53067226891,Kymouse,10.591523965056222,45512,0.45288571856138077,clone_id
125,Kymouse 3,0.6,87549.70886814469,Kymouse,10.751387128710206,54050,0.5386741158278047,clone_id
126,Kymouse 3,0.7,87545.80476190476,Kymouse,10.887416018876834,62544,0.6239537087843567,clone_id
