,subject,type,neighbour,shared,key
229,Kymouse 5,Kymouse/Kymouse,Kymouse 7,4.656413612565445,cdr3_aa
230,Kymouse 6,Kymouse/Kymouse,Kymouse 7,4.598782512451577,cdr3_aa
0,Human 1,Human/Human,Human 2,0.8579118537624761,clone_id
1,Human 1,Human/Human,Human 3,0.8074464505999775,clone_id
2,Human 1,Human/Human,Human 4,0.7102633047536908,clone_id
3,Human 1,Human/Human,Human 5,0.7045514686424981,clone_id
4,Human 1,Human/Human,Human 6,0.5973205904940695,clone_id
5,Human 1,Human/Human,Human 7,0.6658904009897387,clone_id
6,Human 1,Human/Human,Human 8,0.575963138359145,clone_id
7,Human 1,Human/Human,Human 9,0.6082170118298208,clone_id
8,Human 1,Human/Human,Human 10,0.6579839913173247,clone_id
9,Human 1,Human/Kymouse,Kymouse 1,0.6440198159943382,clone_id
10,Human 1,Human/Kymouse,Kymouse 2,0.6252102725131771,clone_id
11,Human 1,Human/Kymouse,Kymouse 3,0.8635191207805315,clone_id
12,Human 1,Human/Kymouse,Kymouse 4,0.6560502411124818,clone_id
13,Human 1,Human/Kymouse,Kymouse 5,0.6265664160401002,clone_id
14,Human 1,Human/Kymouse,Kymouse 6,0.7261410788381742,clone_id
15,Human 1,Human/Kymouse,Kymouse 7,0.6364248065492879,clone_id
16,Human 2,Human/Human,Human 3,0.8721129855563441,clone_id
17,Human 2,Human/Human,Human 4,0.9030490589011212,clone_id
18,Human 2,Human/Human,Human 5,0.8534003704683778,clone_id
19,Human 2,Human/Human,Human 6,0.8490485536308559,clone_id
20,Human 2,Human/Human,Human 7,0.8842151226257187,clone_id
21,Human 2,Human/Human,Human 8,0.8735440931780365,clone_id
22,Human 2,Human/Human,Human 9,0.8606270717391966,clone_id
23,Human 2,Human/Human,Human 10,0.8445258445258446,clone_id
24,Human 2,Human/Kymouse,Kymouse 1,1.0580325548478415,clone_id
25,Human 2,Human/Kymouse,Kymouse 2,0.761307657859382,clone_id
26,Human 2,Human/Kymouse,Kymouse 3,1.0434393193013882,clone_id
27,Human 2,Human/Kymouse,Kymouse 4,0.7344379758172862,clone_id
28,Human 2,Human/Kymouse,Kymouse 5,0.9846043680630147,clone_id
29,Human 2,Human/Kymouse,Kymouse 6,0.8463949843260188,clone_id
30,Human 2,Human/Kymouse,Kymouse 7,0.7635467980295567,clone_id
31,Human 3,Human/Human,Human 4,0.7965095631880676,clone_id
32,Human 3,Human/Human,Human 5,0.7806297962423923,clone_id
33,Human 3,Human/Human,Human 6,0.8789145831555594,clone_id
34,Human 3,Human/Human,Human 7,0.8769376319045193,clone_id
35,Human 3,Human/Human,Human 8,0.8031485984896966,clone_id
36,Human 3,Human/Human,Human 9,0.8515038165617492,clone_id
37,Human 3,Human/Human,Human 10,0.8241758241758242,clone_id
38,Human 3,Human/Kymouse,Kymouse 1,0.8952583156404813,clone_id
39,Human 3,Human/Kymouse,Kymouse 2,0.6638130336255637,clone_id
40,Human 3,Human/Kymouse,Kymouse 3,0.9293382470757892,clone_id
41,Human 3,Human/Kymouse,Kymouse 4,0.6638130336255637,clone_id
42,Human 3,Human/Kymouse,Kymouse 5,0.8557107053347656,clone_id
43,Human 3,Human/Kymouse,Kymouse 6,0.8125987135761211,clone_id
44,Human 3,Human/Kymouse,Kymouse 7,0.7027262114587863,clone_id
45,Human 4,Human/Human,Human 5,0.6138704276799757,clone_id
46,Human 4,Human/Human,Human 6,0.36020496169651467,clone_id
47,Human 4,Human/Human,Human 7,0.6087971183603065,clone_id
48,Human 4,Human/Human,Human 8,0.6037238090406372,clone_id
49,Human 4,Human/Human,Human 9,0.7407031606717062,clone_id
50,Human 4,Human/Human,Human 10,0.689970067475014,clone_id
51,Human 4,Human/Kymouse,Kymouse 1,0.5935771904012987,clone_id
52,Human 4,Human/Kymouse,Kymouse 2,0.6950433767946832,clone_id
53,Human 4,Human/Kymouse,Kymouse 3,0.9994419359748364,clone_id
54,Human 4,Human/Kymouse,Kymouse 4,0.71533661407336,clone_id
55,Human 4,Human/Kymouse,Kymouse 5,0.6087971183603065,clone_id
56,Human 4,Human/Kymouse,Kymouse 6,0.8218761097864137,clone_id
57,Human 4,Human/Kymouse,Kymouse 7,0.7001166861143524,clone_id
58,Human 5,Human/Human,Human 6,0.5461216827374349,clone_id
59,Human 5,Human/Human,Human 7,0.6476966741867404,clone_id
60,Human 5,Human/Human,Human 8,0.5722413336861604,clone_id
61,Human 5,Human/Human,Human 9,0.674781688277322,clone_id
62,Human 5,Human/Human,Human 10,0.6444173110839777,clone_id
63,Human 5,Human/Kymouse,Kymouse 1,0.5484784147204529,clone_id
64,Human 5,Human/Kymouse,Kymouse 2,0.5490870600688013,clone_id
